
2022/09/12 (13:20:01) | ===> btop++ v.1.2.9
2022/09/12 (13:20:01) | WARNING: Failed to join _runner thread on exit!

2022/09/12 (13:24:13) | ===> btop++ v.1.2.9
2022/09/12 (13:24:13) | WARNING: Failed to join _runner thread on exit!

2022/09/12 (13:29:37) | ===> btop++ v.1.2.9
2022/09/12 (13:29:37) | WARNING: Failed to join _runner thread on exit!

2022/09/12 (13:30:09) | ===> btop++ v.1.2.9
2022/09/12 (13:30:09) | WARNING: Failed to join _runner thread on exit!

2022/09/12 (13:33:21) | ===> btop++ v.1.2.9
2022/09/12 (13:33:21) | WARNING: Failed to join _runner thread on exit!

2022/09/12 (13:49:31) | ===> btop++ v.1.2.9
2022/09/12 (13:49:31) | WARNING: Failed to join _runner thread on exit!

2022/09/12 (13:49:37) | ===> btop++ v.1.2.9
2022/09/12 (13:49:37) | WARNING: Failed to join _runner thread on exit!

2022/09/12 (13:59:08) | ===> btop++ v.1.2.9
2022/09/12 (13:59:08) | WARNING: Failed to join _runner thread on exit!

2022/09/13 (03:13:57) | ===> btop++ v.1.2.9
2022/09/13 (03:13:57) | WARNING: Failed to join _runner thread on exit!

2022/09/13 (03:14:04) | ===> btop++ v.1.2.9
2022/09/13 (03:14:04) | WARNING: Failed to join _runner thread on exit!

2022/09/13 (03:14:09) | ===> btop++ v.1.2.9
2022/09/13 (03:14:09) | WARNING: Failed to join _runner thread on exit!

2022/10/12 (19:51:26) | ===> btop++ v.1.2.9
2022/10/12 (19:51:26) | ERROR: Exception in runner thread -> Proc:: -> basic_string::replace: __pos (which is 18446744073709551608) > this->size() (which is 0)

2022/10/12 (19:59:53) | ===> btop++ v.1.2.9
2022/10/12 (19:59:53) | ERROR: Exception in runner thread -> Proc:: -> basic_string::replace: __pos (which is 18446744073709551608) > this->size() (which is 0)

2022/11/24 (22:48:50) | ===> btop++ v.1.2.9
2022/11/24 (22:48:50) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module
2022/11/24 (22:49:08) | WARNING: Failed to join _runner thread on exit!

2022/11/25 (14:43:32) | ===> btop++ v.1.2.9
2022/11/25 (14:43:32) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module

2022/11/25 (15:44:45) | ===> btop++ v.1.2.9
2022/11/25 (15:44:45) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module
2022/11/25 (15:44:46) | WARNING: Failed to join _runner thread on exit!

2022/11/25 (15:44:48) | ===> btop++ v.1.2.9
2022/11/25 (15:44:48) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module

2022/11/25 (16:49:21) | ===> btop++ v.1.2.9
2022/11/25 (16:49:21) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module

2022/11/25 (17:03:17) | ===> btop++ v.1.2.9
2022/11/25 (17:03:17) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module

2022/11/25 (17:11:33) | ===> btop++ v.1.2.9
2022/11/25 (17:11:33) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module
2022/11/25 (17:12:06) | WARNING: Failed to join _runner thread on exit!

2022/11/25 (18:43:09) | ===> btop++ v.1.2.9
2022/11/25 (18:43:09) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module

2022/11/25 (19:00:11) | ===> btop++ v.1.2.9
2022/11/25 (19:00:11) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module

2022/11/25 (19:02:58) | ===> btop++ v.1.2.9
2022/11/25 (19:02:58) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module
2022/11/25 (19:03:10) | WARNING: Failed to join _runner thread on exit!

2022/11/25 (19:07:00) | ===> btop++ v.1.2.9
2022/11/25 (19:07:00) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module

2022/11/25 (19:08:19) | ===> btop++ v.1.2.9
2022/11/25 (19:08:19) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module

2022/11/25 (21:01:08) | ===> btop++ v.1.2.9
2022/11/25 (21:01:08) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module
2022/11/25 (21:01:09) | WARNING: Failed to join _runner thread on exit!

2022/11/26 (15:01:45) | ===> btop++ v.1.2.9
2022/11/26 (15:01:45) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module

2022/11/26 (18:17:09) | ===> btop++ v.1.2.9
2022/11/26 (18:17:09) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module
2022/11/26 (18:17:11) | WARNING: Failed to join _runner thread on exit!

2022/12/02 (23:56:05) | ===> btop++ v.1.2.13
2022/12/02 (23:56:05) | WARNING: Could not get temp sensor - maybe you need to load the coretemp module
